date,Iran_entropy,Crypto_entropy,Macro_entropy,Geopolitical_entropy,Energy_entropy,Pandemic_entropy,composite_entropy
2025-07-06,,,,0.8032566997760641,,,0.8032566997760641
2025-07-07,,,,0.6800770457282798,,,0.6800770457282798
2025-07-08,,,,0.7118146702143197,,,0.7118146702143197
2025-07-09,,,,0.731816079376955,,,0.731816079376955
2025-07-10,,,,0.731816079376955,,,0.731816079376955
2025-07-11,,,,0.7118146702143197,,,0.7118146702143197
2025-07-12,,,,0.7219280948873623,,,0.7219280948873623
2025-07-13,,,,0.731816079376955,,,0.731816079376955
2025-07-14,,,,0.7219280948873623,,,0.7219280948873623
2025-07-15,,,,0.7509319796338465,,,0.7509319796338465
2025-07-16,,,,0.7219280948873623,,,0.7219280948873623
2025-07-17,,,,0.7219280948873623,,,0.7219280948873623
2025-07-18,,,,0.7219280948873623,,,0.7219280948873623
2025-07-19,,,,0.7118146702143197,,,0.7118146702143197
2025-07-20,,,,0.7118146702143197,,,0.7118146702143197
2025-07-21,,,,0.7118146702143197,,,0.7118146702143197
2025-07-22,,,,0.7219280948873623,,,0.7219280948873623
2025-07-23,,,,0.7118146702143197,,,0.7118146702143197
2025-07-24,,,,0.7770131822651186,,,0.7770131822651186
2025-07-25,,,,0.7357770147159631,,,0.7357770147159631
2025-07-26,,,,0.7395607781094854,,,0.7395607781094854
2025-07-27,,,,0.7237037873272337,,,0.7237037873272337
2025-07-28,,,,0.707117910267127,,,0.707117910267127
2025-07-29,,,,0.707117910267127,,,0.707117910267127
2025-07-30,,,,0.707117910267127,,,0.707117910267127
2025-07-31,,,,0.707117910267127,,,0.707117910267127
2025-08-01,,,,0.707117910267127,,,0.707117910267127
2025-08-02,,,,0.7155037555427339,,,0.7155037555427339
2025-08-03,,,,0.7136336509480639,,,0.7136336509480639
2025-08-04,,,,0.707117910267127,,,0.707117910267127
2025-08-05,,,,0.707117910267127,,,0.707117910267127
2025-08-06,,,,0.707117910267127,,,0.707117910267127
2025-08-07,,,,0.7395607781094854,,,0.7395607781094854
2025-08-08,,,,0.707117910267127,,,0.707117910267127
2025-08-09,,,,0.7199200239337116,,,0.7199200239337116
2025-08-10,,,,0.7279378831012054,,,0.7279378831012054
2025-08-11,,,,0.7218336827325637,,,0.7218336827325637
2025-08-12,,,,0.7237037873272337,,,0.7237037873272337
2025-08-13,,,,0.7117199921492117,,,0.7117199921492117
2025-08-14,,,,0.7077590568102037,,,0.7077590568102037
2025-08-15,,,,0.7159590885947035,,,0.7159590885947035
2025-08-16,,,,0.7013762046913532,,,0.7013762046913532
2025-08-17,,,,0.692800693629575,,,0.692800693629575
2025-08-18,,,,0.6966722946106786,,,0.6966722946106786
2025-08-19,,,,0.692800693629575,,,0.692800693629575
2025-08-20,,,,0.682028442555246,,,0.682028442555246
2025-08-21,,,,0.682028442555246,,,0.682028442555246
2025-08-22,,,,0.6907977004728183,,,0.6907977004728183
2025-08-23,,,,0.7052478056724569,,,0.7052478056724569
2025-08-24,,,,0.7013762046913532,,,0.7013762046913532
2025-08-25,,,,0.7013762046913532,,,0.7013762046913532
2025-08-26,,,,0.6973243586597615,,,0.6973243586597615
2025-08-27,,,,0.7013762046913532,,,0.7013762046913532
2025-08-28,,,,0.7179620817514601,,,0.7179620817514601
2025-08-29,,,,0.6907977004728183,,,0.6907977004728183
2025-08-30,,,,0.6993732115345965,,,0.6993732115345965
2025-08-31,,,,0.6973243586597615,,,0.6973243586597615
2025-09-01,,,,0.6973243586597615,,,0.6973243586597615
2025-09-02,,,,0.6866532820924346,,,0.6866532820924346
2025-09-03,,,,0.6823183603732627,,,0.6823183603732627
2025-09-04,,,,0.6754413706243075,,,0.6754413706243075
2025-09-05,,,,0.6517907717726026,,,0.6517907717726026
2025-09-06,,,,0.6690158350565575,,,0.6690158350565575
2025-09-07,,,,0.6666721127067352,,,0.6666721127067352
2025-09-08,,,,0.7140630555943149,,,0.7140630555943149
2025-09-09,,,,0.6840168816860858,,,0.6840168816860858
2025-09-10,,,,0.6900060330275635,,,0.6900060330275635
2025-09-11,,,,0.6850485311029264,,,0.6850485311029264
2025-09-12,,,,0.6875550886778108,,,0.6875550886778108
2025-09-13,,,,0.6816201877519565,,,0.6816201877519565
2025-09-14,,,,0.6816201877519565,,,0.6816201877519565
2025-09-15,,,,0.6947464493115152,,,0.6947464493115152
2025-09-16,,,,0.6777850929741298,,,0.6777850929741298
2025-09-17,,,,0.6777850929741298,,,0.6777850929741298
2025-09-18,,,,0.702946481096015,,,0.702946481096015
2025-09-19,,,,0.702946481096015,,,0.702946481096015
2025-09-20,,,,0.7109643402635089,,,0.7109643402635089
2025-09-21,,,,0.6947464493115152,,,0.6947464493115152
2025-09-22,,,,0.6816201877519565,,,0.6816201877519565
2025-09-23,,,,0.6982060648120633,,,0.6982060648120633
2025-09-24,,,,0.6932485628874262,,,0.6932485628874262
2025-09-25,,,,0.6932485628874262,,,0.6932485628874262
2025-09-26,,,,0.6458962408390521,,,0.6458962408390521
2025-09-27,,,,0.6397375419280894,,,0.6397375419280894
2025-09-28,,,,0.6487048758906051,,,0.6487048758906051
2025-09-29,,,0.7478983221256077,0.6740990601808455,,,0.7109986911532267
2025-09-30,,,0.5769725110401501,0.6850485311029264,,,0.6310105210715382
2025-10-01,,,0.3989356722552213,0.6714768104433935,,,0.5352062413493074
2025-10-02,,,0.3778842238555444,0.6714768104433935,,,0.524680517149469
2025-10-03,,,0.37375332025453084,0.6574741338081773,,,0.5156137270313541
2025-10-04,,,0.38431154412649704,0.6660496448699557,,,0.5251805944982264
2025-10-05,,,0.37375332025453084,0.6541320414640429,,,0.5139426808592868
2025-10-06,,,0.3550470537478906,0.6574741338081773,,,0.506260593778034
2025-10-07,,,0.3550470537478906,0.6397375419280894,,,0.49739229783799
2025-10-08,,,0.3550470537478906,0.6487048758906051,,,0.5018759648192479
2025-10-09,,,0.3764818747721895,0.6487048758906051,,,0.5125933753313973
2025-10-10,,,0.36841610912491224,0.6451647075015272,,,0.5067904083132198
2025-10-11,,,0.3764818747721895,0.664275418772606,,,0.5203786467723978
2025-10-12,,,0.3764818747721895,0.6451647075015272,,,0.5108232911368583
2025-10-13,,,0.3764818747721895,0.6850485311029264,,,0.5307652029375579
2025-10-14,,,0.3764818747721895,0.6766626858273194,,,0.5265722802997544
2025-10-15,,,0.3550470537478906,0.7091055536696778,,,0.5320763037087841
2025-10-16,,,0.3469812881006133,0.7142055954207659,,,0.5305934417606896
2025-10-17,,,0.3469812881006133,0.7192757786421243,,,0.5331285333713688
2025-10-18,,,0.3469812881006133,0.7140630555943149,,,0.5305221718474641
2025-10-19,,,0.3386625912629869,0.7062239239795571,,,0.5224432576212721
